Age,Gender,Country,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Treatment
31,1,6,1,0,3,4,0,1,2,2,1,0,2,4,1,1,1,1,1,1,2,0,0
29,0,44,0,0,0,3,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,0,1
41,2,44,0,0,3,2,0,1,2,1,1,1,0,4,2,1,0,1,1,1,0,0,0
34,0,44,0,0,3,4,0,1,2,0,1,1,0,2,1,1,2,2,0,0,2,0,0
33,1,43,0,0,3,2,0,1,0,0,1,1,0,0,1,1,2,2,2,2,0,0,0
28,1,44,0,0,2,4,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
28,1,44,0,0,3,5,0,1,1,2,1,1,2,3,2,1,0,1,1,1,1,0,1
23,1,44,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,2,1,2,2,0,0
24,1,44,0,0,3,0,0,1,0,0,0,1,2,4,1,1,2,2,0,2,2,0,0
32,1,44,0,0,2,0,1,1,1,2,1,1,0,3,1,1,1,2,1,0,2,0,0
34,1,0,1,0,3,0,1,1,0,1,2,2,0,1,2,2,0,0,1,0,2,0,0
24,1,44,0,0,0,4,0,1,2,1,1,0,0,4,0,1,1,0,0,0,2,0,0
26,1,43,1,0,3,0,0,1,1,2,1,1,0,0,0,1,1,1,1,0,2,0,1
36,1,44,0,0,3,2,0,1,2,0,1,2,0,0,0,1,1,1,1,0,0,1,1
41,1,44,0,0,2,3,1,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1
38,1,43,0,0,3,5,0,0,0,1,0,0,0,3,2,1,0,0,1,0,1,0,1
38,1,44,0,0,3,2,1,1,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0
30,1,27,0,0,3,2,0,1,0,0,0,0,2,2,1,1,1,1,1,1,2,0,0
25,1,43,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,0,1,0,1,0,0
